Time,Bps
1204,18112
1205,47136
1206,38416
1207,31344
1208,40096
1209,41968
1210,49424
1211,95312
1212,11328
1213,16784
1214,18112
1215,38912
1216,42640
1217,28576
1218,47120
1219,45696
1220,36848
1221,32656
1222,11856
1223,10800
1224,21968
1225,41856
1226,35056
1227,94384
1228,28560
1229,46608
1230,51376
1231,38800
1232,23424
1233,15984
1234,10272
1235,25680
1236,50336
1237,28176
1238,35056
1239,38112
1240,47152
1241,47680
1242,20224
1243,84560
1244,10704
1245,18608
1246,42896
1247,43984
1248,27632
1249,41424
1250,36256
1251,35024
1252,48416
1253,11328
1254,2688
1255,16880
1256,40944
1257,41952
1258,93456
1259,49920
1260,41968
1261,47680
1262,31360
1263,14640
1264,11328
1265,16784
1266,33488
1267,50336
1268,22080
1269,40640
1270,47664
1271,42480
1272,36944
1273,16112
1274,83936
1275,16352
1276,27920
1277,43296
1278,30976
1279,42768
1280,41072
1281,56928
1282,43312
1283,21552
1284,10800
1285,14528
1286,26496
1287,54480
1288,29072
1289,101264
1290,49520
1291,49520
1292,33072
1293,19168
1294,13056
1295,10800
1296,29392
1297,52752
1298,29904
1299,29488
1300,44352
1301,49520
1302,39696
1303,15488
1304,15312
1305,82544
1306,16784
1307,50368
1308,42640
1309,29488
1310,42928
1311,33216
1312,41520
1313,35472
1314,11328
1315,25584
1316,7312
1317,32560
1318,37840
1319,27248
1320,120784
1321,44352
1322,46192
1323,26992
1324,15056
1325,20656
1326,18512
1327,36000
1328,42480
1329,20624
1330,34944
1331,49520
1332,40624
1333,38384
1334,17840
1335,23872
1336,84128
1337,21152
1338,43824
1339,34544
1340,35472
1341,41584
1342,39680
1343,43808
1344,22496
1345,14112
1346,21184
1347,18272
1348,39680
1349,40624
1350,28576
1351,43824
1352,120784
1353,40496
1354,23968
1355,17408
1356,23440
1357,12000
1358,48992
1359,34944
1360,25248
1361,48992
1362,44368
1363,55280
1364,23424
1365,14112
1366,23968
1367,81248
1368,43824
1369,37856
1370,35072
1371,41040
1372,44624
1373,45664
1374,20624
1375,20656
1376,18272
1377,15408
1378,39712
1379,38240
1380,32832
1381,51376
1382,114672
1383,34528
1384,24336
1385,17312
1386,21184
1387,17296
1388,41968
1389,38256
1390,17120
1391,60048
1392,47664
1393,40096
1394,8272
1395,27680
1396,11584
1397,87344
1398,47040
1399,30800
1400,30304
1401,47136
1402,44352
1403,42080
1404,23424
1405,17312
1406,19184
1407,13584
1408,46608
1409,32288
1410,36400
1411,42928
1412,43392
1413,110544
1414,26736
1415,17888
1416,17408
1417,15840
1418,47680
1419,34144
1420,36000
1421,46208
1422,44352
1423,36912
1424,22880
1425,15056
1426,21184
1427,17296
1428,114272
1429,36400
1430,27120
1431,50848
1432,46240
1433,39664
1434,21424
1435,17312
1436,20656
1437,11328
1438,43824
1439,40112
1440,17824
1441,45168
1442,49520
1443,45792
1444,95184
1445,17312
1446,22384
1447,13056
1448,38656
1449,40144
1450,28976
1451,46176
1452,43824
1453,43936
1454,26208
1455,14112
1456,23440
1457,13584
1458,40112
1459,111488
1460,36528
1461,42496
1462,77024
1463,30976
1464,15584
1465,21712
1466,13584
